id,vin,price,make,model,year,mileage,fueltype,packages,driveType,engine,color_ext,color_int,transmission,trim
709403900,ZARFAECN2J7563383,20998,Alfa Romeo,Giulia,2018,31662.0,Gasoline,"[{'name': 'Quick Order Package 22Z Lusso'}, {'name': 'TI Performance Package'}, {'name': 'Driver Assist Dynamic Plus Package'}, {'name': 'Driver Assistance Static Package'}]",2 Wheel Drive - Rear,4-Cylinder Turbo,Black,White,8-Speed Automatic,Ti
709139723,ZARFAMBN2L7626688,20998,Alfa Romeo,Giulia,2020,63200.0,Gasoline,[{'name': 'Nero Edizione'}],2 Wheel Drive - Rear,4-Cylinder Turbo,Gray,Unavail,8-Speed Automatic,Ti
700140217,ZASFAKNN4J7B97570,21000,Alfa Romeo,Stelvio,2018,52000.0,Gasoline,"[{'name': 'Quick Order Package 22S TI Sport'}, {'name': 'Driver Assist Dynamic Plus Package'}, {'name': 'Driver Assistance Static Package'}]",All Wheel Drive,4-Cylinder Turbo,Black,Black,8-Speed Automatic,Ti Sport
702213199,ZASPAJANXK7C69846,21240,Alfa Romeo,Stelvio,2019,52900.0,Gasoline,"[{'name': 'Quick Order Package 22K Sport'}, {'name': '8.8"" Radio W/Siriusxm Pto Package'}, {'name': 'Nero Edizione Sport'}, {'name': 'Driver Assist Static w/Front Sensors Package'}]",2 Wheel Drive - Rear,4-Cylinder Turbo,Red,Red,8-Speed Automatic,Sport
709618331,ZASPAJAN2L7C92409,21289,Alfa Romeo,Stelvio,2020,44528.0,Gasoline,[{'name': 'Nero Edizione'}],2 Wheel Drive - Rear,4-Cylinder Turbo,White,Unavail,8-Speed Automatic,Not available
709197907,ZASPAJAN6L7C93885,21289,Alfa Romeo,Stelvio,2020,40333.0,Gasoline,[{'name': 'Nero Edizione'}],2 Wheel Drive - Rear,4-Cylinder Turbo,Blue,Black,8-Speed Automatic,Not available
697176290,ZASPAJAN2L7C94967,21289,Alfa Romeo,Stelvio,2020,35406.0,Gasoline,[{'name': 'Nero Edizione'}],2 Wheel Drive - Rear,4-Cylinder Turbo,White,Black,8-Speed Automatic,Not available
709214302,ZASPAJAN4M7D15092,21466,Alfa Romeo,Stelvio,2021,32383.0,Gasoline,"[{'name': 'Sun & Sound Package'}, {'name': 'Active Assist 1 Package'}]",2 Wheel Drive - Rear,4-Cylinder Turbo,White,Unavail,8-Speed Automatic,Sprint
708502916,ZASPAKBN2K7C59798,21500,Alfa Romeo,Stelvio,2019,81426.0,Gasoline,"[{'name': 'Quick Order Package 22S Sport'}, {'name': 'Driver Assist Dynamic Plus Package'}, {'name': 'Nero Edizione Sport'}, {'name': 'Driver Assistance Static Package'}]",All Wheel Drive,4-Cylinder Turbo,Red,Brown,8-Speed Automatic,Ti Sport
709708419,ZASPAJAN7K7C71831,21589,Alfa Romeo,Stelvio,2019,41668.0,Gasoline,"[{'name': 'Nero Edizione'}, {'name': '8.8"" Radio W/Siriusxm Pto Package'}, {'name': 'Driver Assist Static w/Front Sensors Package'}]",2 Wheel Drive - Rear,4-Cylinder Turbo,Blue,Unavail,8-Speed Automatic,Not available
708534637,ZARFAMAN5L7635886,21775,Alfa Romeo,Giulia,2020,46600.0,Gasoline,[{'name': 'Nero Edizione'}],2 Wheel Drive - Rear,4-Cylinder Turbo,White,Tan,8-Speed Automatic,Not available
709403886,ZARFAMBN9K7608445,21998,Alfa Romeo,Giulia,2019,29393.0,Gasoline,"[{'name': 'Quick Order Package 22Z Lusso'}, {'name': 'Driver Assistance Static Package'}]",2 Wheel Drive - Rear,4-Cylinder Turbo,White,Black,8-Speed Automatic,Ti
695203466,ZASFAKBN8J7B88875,21999,Alfa Romeo,Stelvio,2018,64755.0,Gasoline,"[{'name': 'Driver Assist Dynamic Plus Package'}, {'name': 'Driver Assistance Static Package'}]",All Wheel Drive,4-Cylinder Turbo,Black,Red,8-Speed Automatic,Ti
