id,vin,price,make,model,year,mileage,fueltype,packages,driveType,engine,color_ext,color_int,transmission,trim
708040910,ZFF97CMA0M0259652,537950,Ferrari,812 GTS,2021,4398.0,Gasoline,Not available,2 Wheel Drive - Rear,12-Cylinder,Gray,Brown,7-Speed Automatic,Not available
709356880,ZFF93LMA2N0282878,539900,Ferrari,F8 Spider,2022,205.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Green,Black,7-Speed Automatic,Not available
709629171,ZFF99SLA6P0293556,539900,Ferrari,296 GTB,2023,79.0,Hybrid gas/electric,Not available,2 Wheel Drive - Rear,Hybrid,Gray,Black,8-Speed Automatic,Not available
705105453,ZFF90HLA8K0242274,539990,Ferrari,488 Pista,2019,543.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Coupe
709632366,ZFF01SMA5P0295815,549851,Ferrari,296 GTS,2023,223.0,Hybrid gas/electric,Not available,2 Wheel Drive - Rear,Hybrid,Red,Tan,8-Speed Automatic,Not available
702821736,ZFF95NLA0N0273880,549888,Ferrari,SF90 Stradale,2022,500.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Black,Black,8-Speed Automatic,Not available
692951684,ZFF97CMA4M0261467,549900,Ferrari,812 GTS,2021,4694.0,Gasoline,Not available,2 Wheel Drive - Rear,12-Cylinder,Gray,Red,7-Speed Automatic,Not available
706148907,ZFF97CMA2M0260348,549990,Ferrari,812 GTS,2021,3589.0,Gasoline,Not available,2 Wheel Drive - Rear,12-Cylinder,Black,Unavail,7-Speed Automatic,Not available
705721967,ZFF90HLA2L0250887,549995,Ferrari,488 Pista,2020,3400.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Blue,Black,7-Speed Automatic,Coupe
696303210,ZFF95NLA4N0277320,549999,Ferrari,SF90 Stradale,2022,974.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Gray,Red,8-Speed Automatic,Not available
707880456,ZFF93LMA3P0294153,549999,Ferrari,F8 Spider,2023,342.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,White,Red,7-Speed Automatic,Not available
703935244,ZFF75VFAXE0203581,555995,Ferrari,458 Speciale,2014,6254.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,White,Blue,7-Speed Automatic,Coupe
705507766,ZFF95NLA3M0264301,559995,Ferrari,SF90 Stradale,2021,667.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Gray,Black,8-Speed Automatic,Not available
705591532,ZFF95NLA9N0273151,564980,Ferrari,SF90 Stradale,2022,603.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,White,Red,8-Speed Automatic,Not available
706781170,ZFF90HLAXK0240297,565900,Ferrari,488 Pista,2019,2429.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Black,7-Speed Automatic,Coupe
700678020,ZFF95NLAXP0287336,569000,Ferrari,SF90 Stradale,2023,110.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,White,Black,8-Speed Automatic,Not available
705257623,ZFF90HLA3K0245177,569800,Ferrari,488 Pista,2019,3154.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Coupe
703482329,ZFF90HLA6L0248382,569895,Ferrari,488 Pista,2020,1723.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Coupe
702197557,ZFF95NLA7N0278526,569900,Ferrari,SF90 Stradale,2022,450.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,White,Black,8-Speed Automatic,Not available
703374132,ZFF95NLA4M0260581,569900,Ferrari,SF90 Stradale,2021,1224.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Red,Black,8-Speed Automatic,Not available
708776210,ZFF97CMA8M0258913,569900,Ferrari,812 GTS,2021,3435.0,Gasoline,Not available,2 Wheel Drive - Rear,12-Cylinder,Not available,Not available,7-Speed Automatic,Not available
699593595,ZFF91HMA1L0251024,569991,Ferrari,488 Pista,2020,10963.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Black,7-Speed Automatic,Spider
704840976,ZFF90HLA2L0253241,569995,Ferrari,488 Pista,2020,3743.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,Coupe
677641472,ZFF95NLA2M0260580,574850,Ferrari,SF90 Stradale,2021,1067.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Red,Black,8-Speed Automatic,Not available
695917930,ZFF95NLA6N0277397,579900,Ferrari,SF90 Stradale,2022,564.0,Hybrid gas/electric,Not available,All Wheel Drive,Hybrid,Silver,Red,8-Speed Automatic,Not available
