id,vin,price,make,model,year,mileage,fueltype,packages,driveType,engine,color_ext,color_int,transmission,trim
696513271,ZFFEW59A660149665,129900,Ferrari,F430,2006,19700.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Gray,Gray,Not available,Spider
708983543,ZFF77XJA6G0212293,132437,Ferrari,California,2016,20801.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,White,Unavail,7-Speed Automatic,T
695006556,ZFFEW59A970151461,134000,Ferrari,F430,2007,27900.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Red,Beige,6-Speed Automatic,Spider
706082541,ZFFEW59A170152457,135000,Ferrari,F430,2007,21950.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Red,Tan,6-Speed Automatic,Spider
705492247,ZFF77XJA0F0211557,136000,Ferrari,California,2015,14721.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Black,7-Speed Automatic,T
705505824,ZFF77XJA0H0220505,138000,Ferrari,California,2017,14600.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Black,7-Speed Automatic,T
688538692,ZFFEW59A870155159,139000,Ferrari,F430,2007,39000.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Red,Black,Not available,Spider
708425802,ZFF77XJA9F0207913,143500,Ferrari,California,2015,19000.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Turquoise,Tan,7-Speed Automatic,T
693125374,ZFF77XJAXH0220687,148000,Ferrari,California,2017,14300.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Black,7-Speed Automatic,T
703503666,ZFF77XJA9F0211587,149795,Ferrari,California,2015,8600.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Brown,7-Speed Automatic,T
699078095,ZFFEW59A970153677,149900,Ferrari,F430,2007,9279.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Red,Beige,Not available,Spider
657993128,ZFFEW59A280163713,149999,Ferrari,F430,2008,14599.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Red,Black,Not available,Spider
668152735,ZFF77XJA7G0216918,150000,Ferrari,California,2016,10185.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,White,Red,7-Speed Automatic,T
709141857,ZFF77XJA0G0218798,151671,Ferrari,California,2016,12206.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Tan,7-Speed Automatic,T
690575438,ZFF77XJA4F0207902,154999,Ferrari,California,2015,14872.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,White,Beige,7-Speed Automatic,T
708954003,ZFF77XJA5H0224534,155000,Ferrari,California,2017,22778.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Beige,7-Speed Automatic,T
695725730,ZFFEW59A370156493,155000,Ferrari,F430,2007,6580.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Red,Beige,Not available,Spider
652877744,ZFF77XJA6G0218871,156900,Ferrari,California,2016,9940.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Black,Black,7-Speed Automatic,T
709175884,ZFF77XJA6J0227903,159999,Ferrari,California,2018,19259.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Red,Black,7-Speed Automatic,T
689256841,ZFF73SKA5F0209476,160000,Ferrari,FF,2015,17831.0,Gasoline,Not available,All Wheel Drive,12-Cylinder,Black,Black,7-Speed Automatic,Not available
699427959,ZFF67NFA5D0190470,162000,Ferrari,458 Italia,2013,62000.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Black,Black,7-Speed Automatic,Coupe
686082569,ZFF77XJA9G0212904,163999,Ferrari,California,2016,9400.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Silver,Tan,7-Speed Automatic,T
709429769,ZFFEW59A870157753,167998,Ferrari,F430,2007,9669.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Yellow,Black,Not available,Spider
702133295,ZFFEW59A770153094,169000,Ferrari,F430,2007,26500.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder,Black,Black,Not available,Spider
709190213,ZFF89FPA8K0242615,194795,Ferrari,Portofino,2019,12316.0,Gasoline,Not available,2 Wheel Drive - Rear,8-Cylinder Turbo,Silver,Tan,7-Speed Automatic,Not available
